Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
1.1,56.7742,57.65752,55.04893,60.59201,60.07027,61.49268,58.29464,59.41224,61.77018,57.99806,68.4213,60.43076,2
1.2,56.7742,57.65752,55.05106,60.59088,60.07027,61.49268,58.29464,59.41311,61.77117,57.99767,68.4213,60.43124,2
1.3,56.77219,57.65362,55.05106,60.59088,60.06956,61.49299,58.29464,59.41311,61.77117,57.99767,68.4282,60.43244,2
1.4,56.77354,57.65362,55.05199,60.59351,60.06956,61.49299,58.29372,59.41311,61.7736,57.9971,68.4282,60.43244,2
1.5,56.77354,57.65435,55.05469,60.59351,60.06956,61.49293,58.29372,59.41311,61.7736,57.9971,68.43045,60.43242,2
1.6,56.77251,57.65435,55.05469,60.5952,60.06956,61.49293,58.2905,59.41241,61.78444,57.99666,68.45085,60.43242,2
1.7,56.77251,57.65213,55.05413,60.59238,60.07015,61.49232,58.2905,59.41241,61.83034,57.99666,68.45085,60.43225,2
1.8,56.77257,57.65162,55.05413,60.59238,60.07015,61.49232,58.28988,59.41235,61.83034,57.99722,68.48427,60.43131,2
1.9,56.77257,57.65162,55.05261,60.58998,60.07044,61.49207,58.28988,59.41235,61.83211,57.99688,68.48427,60.43131,2
2,56.77267,57.65335,55.05355,60.58998,60.07044,61.49207,58.2655,59.41345,61.83211,57.99688,68.50008,60.4323,2
2.1,56.77191,57.65335,55.05355,60.58908,60.06903,61.49207,58.2655,59.41345,61.83016,57.99637,68.51982,60.4323,2
2.2,56.77191,57.6529,55.05194,60.58908,60.06903,61.49207,58.2763,59.41222,61.83004,57.99637,68.51982,60.43137,2
2.3,56.77197,57.6529,55.05194,60.58541,60.06962,61.49077,58.2763,59.41222,61.83004,57.99716,68.52508,60.43137,2
2.4,56.77197,57.65346,55.05241,60.58837,60.06962,61.49077,58.27868,59.41322,61.83304,57.99677,68.52508,60.43135,2
2.5,56.77376,57.65791,55.05241,60.58837,60.06939,61.48919,58.27868,59.41322,61.83304,57.99677,68.52732,60.43141,2
2.6,56.77376,57.65791,55.05698,60.5967,60.06939,61.48919,58.2793,59.41451,61.83726,57.99648,68.52732,60.43141,2
2.7,56.77523,57.65786,55.05698,60.5967,60.06885,61.48866,58.2793,59.41451,61.83726,57.99648,68.53033,60.43141,2
2.8,56.77523,57.65786,55.05827,60.59585,60.06885,61.48866,58.28258,59.41509,61.84258,57.99531,68.53027,60.43141,2
2.9,56.77474,57.65575,55.05656,60.59585,60.06886,61.48852,58.28258,59.41509,61.84331,57.99531,68.53027,60.43129,2
3,56.77332,57.65575,55.05656,60.58908,60.06886,61.48852,58.28253,59.41475,61.84331,57.99716,68.53175,60.43194,2
3.1,56.77332,57.65708,55.0563,60.58908,60.0689,61.4876,58.28253,59.41475,61.84468,57.99733,68.53175,60.43194,2
3.2,56.77273,57.65591,55.0563,60.5862,60.0689,61.4876,58.28405,59.4155,61.84468,57.99733,68.5331,60.43202,2
3.3,56.77273,57.65591,55.0561,60.58519,60.06914,61.4876,58.28405,59.4155,61.84665,57.99648,68.53745,60.43202,2
3.4,56.77235,57.6563,55.0561,60.58519,60.06914,61.48777,58.29129,59.4155,61.84939,57.99648,68.53745,60.43351,2
3.5,56.77224,57.6563,55.05594,60.58375,60.0689,61.48777,58.29129,59.41591,61.84939,57.99666,68.54033,60.43351,2
3.6,56.77224,57.65697,55.0563,60.58375,60.0689,61.48742,58.29214,59.41591,61.84939,57.99772,68.54033,60.43278,2
3.7,56.77349,57.65697,55.0563,60.5844,60.06922,61.48742,58.29214,59.4155,61.84939,57.99772,68.52648,60.4323,2
3.8,56.77349,57.66047,55.06144,60.5844,60.06922,61.48722,58.29157,59.4155,61.83522,57.99705,68.52648,60.4323,2
3.9,56.78436,57.66047,55.06144,60.62578,60.06737,61.48722,58.29157,59.41241,61.7734,57.99705,68.45443,60.4316,2
4,56.78436,57.67873,55.07184,60.70689,60.06737,61.4861,58.29226,59.41241,61.7734,57.99722,68.41138,60.4316,2
4.1,56.79965,57.69678,55.07184,60.70689,60.06655,61.4861,58.29226,59.41142,61.76957,57.99711,68.41138,60.43208,2
4.2,56.79965,57.69678,55.07895,60.75525,60.06655,61.48509,58.28536,59.41142,61.76957,57.99711,68.40755,60.43124,2
4.3,56.80466,57.70575,55.08165,60.75525,60.06643,61.48509,58.28536,59.41177,61.77079,57.99587,68.40755,60.43124,2
4.4,56.81239,57.70575,55.08165,60.81049,60.06643,61.4854,58.28559,59.41177,61.77129,57.99587,68.41337,60.43249,2
4.5,56.81239,57.71617,55.08228,60.81049,60.06695,61.4854,58.28559,59.41241,61.77129,57.99592,68.40793,60.43249,2
4.6,56.82611,57.71617,55.08228,60.84297,60.06695,61.4855,58.28728,59.41241,61.76986,57.99592,68.40793,60.4316,2
4.7,56.82611,57.77658,55.08103,61.02238,60.06666,61.4855,58.28728,59.412,61.76986,57.99671,68.39701,60.43219,2
4.8,56.8388,57.79126,55.08103,61.02238,60.06666,61.4854,58.27992,59.412,61.7673,57.99564,68.39701,60.43219,2
4.9,56.8388,57.79126,55.07251,61.07337,60.06808,61.4854,58.27992,59.4127,61.7673,57.99564,68.37713,60.43236,2
5,56.85323,57.84799,55.08638,61.07337,60.06808,61.48638,58.27206,59.4127,61.76434,57.99648,68.36442,60.43236,2
5.1,56.92223,57.84799,55.08638,61.16513,60.06742,61.48638,58.27206,59.41224,61.76199,57.99648,68.36442,60.43196,2
5.2,56.92223,57.91304,55.08757,61.16513,60.06742,61.48705,58.27687,59.41224,61.76199,57.99609,68.36716,60.43196,2
5.3,56.91661,57.90206,55.08757,61.17822,60.06625,61.48705,58.27687,59.41253,61.76512,57.9952,68.36716,60.43267,2
5.4,56.91661,57.90206,55.08014,61.17056,60.06625,61.48626,58.28043,59.41253,61.76512,57.9952,68.37119,60.4323,2
5.5,56.90253,57.88996,55.08014,61.17056,60.06814,61.48626,58.28043,59.41246,61.76469,57.99637,68.37119,60.4323,2
