Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
6.1,56.63936,57.52657,54.71651,60.81948,60.21576,61.53175,60.20567,59.49774,61.77332,57.95541,68.31719,60.20174,1
6.2,56.63936,57.52657,54.69835,60.80247,60.21635,61.53181,60.20567,59.49774,61.77332,57.95491,68.3147,60.23715,1
6.3,56.6366,57.52452,54.6947,60.80247,60.21635,61.53181,60.20662,59.49796,61.77203,57.95597,68.3147,60.23715,1
6.4,56.63605,57.52452,54.6947,60.79927,60.2163,61.53149,60.20662,59.49796,61.77203,57.95597,68.30448,60.20128,1
6.5,56.63605,57.52269,54.69572,60.79927,60.2163,61.53149,60.20632,59.49854,61.77154,57.95569,68.29976,60.20128,1
6.6,56.63492,57.52119,54.69572,60.80023,60.21814,61.53222,60.20632,59.49854,61.77186,57.95569,68.29976,60.20163,1
6.7,56.63492,57.52119,54.69742,60.80355,60.21814,61.53222,60.2359,59.49761,61.77186,57.95485,68.29798,60.20163,1
6.8,56.63546,57.52059,54.69742,60.80355,60.21778,61.53126,60.2359,59.49761,61.77322,57.95625,68.29798,60.23704,1
6.9,56.636,57.52059,54.69752,60.80463,60.21778,61.53126,60.20561,59.49895,61.77322,57.95625,68.29913,60.20168,1
7,56.636,57.51886,54.69901,60.80463,60.21677,61.5312,60.20561,59.49895,61.77407,57.95547,68.29913,60.20168,1
7.1,56.6354,57.51886,54.69901,60.80772,60.21677,61.5312,60.20626,59.49871,61.77445,57.95547,68.2981,60.23769,1
7.2,56.6354,57.51249,54.7004,60.80772,60.21749,61.53132,60.20626,59.49871,61.77445,57.95491,68.29893,60.23769,1
7.3,56.63497,57.51116,54.7004,60.81198,60.21749,61.53132,60.20616,59.4986,61.77377,57.95491,68.29893,60.23786,1
7.4,56.63497,57.51116,54.70035,60.81206,60.21826,61.53143,60.20616,59.4986,61.77377,57.95597,68.29854,60.23882,1
7.5,56.63291,57.5075,54.70035,60.81206,60.21826,61.53143,60.23674,59.49867,61.7734,57.95536,68.29854,60.23882,1
7.6,56.63156,57.5075,54.69881,60.80999,60.21736,61.5312,60.23674,59.49867,61.7734,57.95536,68.29951,60.20354,1
7.7,56.63156,57.50445,54.69711,60.80999,60.21736,61.5312,60.2059,59.49941,61.7718,57.95664,68.29951,60.20354,1
7.8,56.62977,57.50445,54.69711,60.80789,60.21831,61.5312,60.2059,59.49941,61.7718,57.95664,68.30046,60.23828,1
7.9,56.62977,57.5014,54.69336,60.80241,60.21831,61.53057,60.20525,59.49941,61.7718,57.95703,68.29932,60.23828,1
8,56.62907,57.50029,54.69336,60.80241,60.21843,61.53057,60.20525,59.49953,61.77018,57.95703,68.29932,60.23733,1
0.1,56.5877,57.44015,54.62616,60.61084,60.2188,61.53371,60.24571,59.50992,61.76826,57.95642,68.3004,60.21019,2
0.2,56.58776,57.44015,54.62616,60.61205,60.22884,61.53819,60.24571,59.50992,61.76858,57.95631,68.30346,60.21019,2
0.3,56.58776,57.44015,54.62529,60.61205,60.22884,61.53819,60.23977,59.51202,61.76931,57.95631,68.30346,60.24191,2
0.4,56.58824,57.44093,54.62529,60.60833,60.24328,61.54292,60.23977,59.51202,61.76931,57.95659,68.29977,60.24191,2
0.5,56.58824,57.44093,54.62596,60.60725,60.24328,61.54292,60.18014,59.50035,61.77,57.95665,68.29977,60.24274,2
0.6,56.58857,57.44281,54.62596,60.60725,60.29902,61.54335,60.18014,59.50035,61.77,57.95665,68.30021,60.20964,2
0.7,56.58938,57.44281,54.62555,60.60742,60.29902,61.54335,60.0692,59.50035,61.76977,57.95681,68.30021,60.20964,2
0.8,56.58938,57.44463,54.62606,60.60742,60.4632,61.54335,60.0692,59.474,61.7705,57.95681,68.29951,60.24156,2
0.9,56.58852,57.44679,54.62606,60.60881,60.4632,61.54463,60.0054,59.474,61.7705,57.95558,68.29811,60.24156,2
1,56.58852,57.44679,54.62632,60.60877,60.4732,61.54463,60.0054,59.46904,61.77018,57.95558,68.29811,60.2097,2
1.1,56.58846,57.44602,54.62632,60.60877,60.4732,61.54082,59.99418,59.46904,61.77018,57.9558,68.29741,60.20953,2
1.2,56.58749,57.44602,54.6255,60.60641,60.46833,61.54082,59.99418,59.46654,61.76989,57.95664,68.29741,60.20953,2
1.3,56.58749,57.4433,54.62509,60.60641,60.46833,61.54347,59.99317,59.46654,61.76989,57.95664,68.30072,60.24103,2
1.4,56.5863,57.4433,54.62509,60.60389,60.44593,61.54347,59.99317,59.46775,61.7705,57.95563,68.29708,60.24103,2
1.5,56.5863,57.43976,54.62478,60.60395,60.44593,61.54665,59.99453,59.46775,61.76963,57.95563,68.29708,60.20822,2
1.6,56.58424,57.43572,54.62478,60.60395,60.36702,61.54665,59.99453,59.47131,61.76963,57.95485,68.29498,60.20822,2
1.7,56.58424,57.43572,54.62376,60.60101,60.36702,61.54716,59.99417,59.47131,61.76989,57.95502,68.29498,60.23953,2
1.8,56.58305,57.43174,54.62376,60.60101,60.32896,61.54716,59.99417,59.47126,61.76989,57.95502,68.293,60.2071,2
1.9,56.58207,57.43174,54.62284,60.59831,60.32896,61.54616,59.99819,59.47126,61.77006,57.95418,68.293,60.2071,2
2,56.58207,57.42715,54.62201,60.59831,60.30807,61.54616,59.99819,59.47428,61.76797,57.95418,68.29129,60.20738,2
2.1,56.57937,57.42715,54.62201,60.59453,60.30807,61.5453,59.9953,59.47428,61.76797,57.95592,68.29121,60.20738,2
2.2,56.57937,57.41813,54.62052,60.59453,60.29276,61.5453,59.9953,59.47014,61.7668,57.95592,68.29121,60.23989,2
2.3,56.57791,57.41277,54.62052,60.58967,60.29276,61.54506,59.98916,59.47014,61.7668,57.95536,68.28733,60.23989,2
2.4,56.57791,57.41277,54.62068,60.58973,60.28465,61.54506,59.98916,59.4695,61.76579,57.95536,68.28733,60.23941,2
2.5,56.57899,57.41548,54.62068,60.58973,60.28465,61.54489,59.98649,59.4695,61.76579,57.95586,68.28498,60.20668,2
2.6,56.58235,57.41548,54.62181,60.59574,60.27669,61.54489,59.98649,59.47242,61.7639,57.95592,68.28498,60.20668,2
2.7,56.58235,57.43257,54.62653,60.59574,60.27669,61.5442,59.98394,59.47242,61.7639,57.95592,68.28523,60.20603,2
2.8,56.5876,57.44574,54.62653,60.60737,60.27669,61.5442,59.98394,59.47329,61.76117,57.95485,68.28254,60.20603,2
2.9,56.5876,57.44574,54.62981,60.62224,60.27104,61.54341,59.98394,59.47329,61.76062,57.95485,68.28254,60.20651,2
3,56.59566,57.45848,54.62981,60.62224,60.27104,61.54341,60.03501,59.48035,61.76062,57.9558,68.28197,60.20651,2
3.1,56.59566,57.45848,54.63654,60.63989,60.26318,61.54241,60.03501,59.48035,61.76036,57.95592,68.28197,60.24054,2
3.2,56.60546,57.47514,54.69197,60.63989,60.26318,61.54241,60.18525,59.50806,61.76036,57.95592,68.28313,60.23941,2
3.3,56.73876,57.47514,54.69197,60.75224,60.24697,61.53879,60.18525,59.50806,61.76443,57.95614,68.28313,60.23941,2
3.4,56.73876,57.99396,54.91972,60.75224,60.24697,61.53879,60.17729,59.50769,61.76443,57.95614,68.28452,60.23964,2
3.5,56.87499,58.15452,54.91972,61.07719,60.23198,61.53579,60.17729,59.50769,61.76611,57.95479,68.28733,60.23964,2
3.6,56.87499,58.15452,55.01229,61.21606,60.23198,61.53579,60.23198,59.50706,61.76876,57.95479,68.28733,60.20769,2
3.7,56.9632,58.32967,55.01229,61.21606,60.2239,61.53297,60.23198,59.50706,61.76876,57.95513,68.31183,60.20769,2
3.8,56.9632,58.32967,55.08098,61.39241,60.2239,61.53297,60.23835,59.50636,61.77431,57.95513,68.31183,60.24138,2
3.9,57.00344,58.45155,55.14021,61.39241,60.21791,61.53143,60.23835,59.50636,61.77431,57.95468,68.35828,60.22331,2
