Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
1.6,56.67904,57.93092,55.21732,60.73905,60.05659,61.48569,58.21008,59.31218,61.78572,58.03103,68.37177,60.43679,2
1.7,56.68154,57.93092,55.21732,60.7352,60.05659,61.48569,58.22347,59.31973,61.78679,58.03036,68.37177,60.43679,2
1.8,56.68154,57.93114,55.21722,60.73707,60.05198,61.48085,58.22347,59.31973,61.78833,58.03036,68.377,60.4362,2
1.9,56.68165,57.93046,55.21722,60.73707,60.05198,61.48085,58.22019,59.31479,61.78833,58.03013,68.38569,60.4362,2
2,56.68165,57.93046,55.21737,60.74019,60.04756,61.47961,58.22019,59.31479,61.78889,58.02991,68.38569,60.4371,2
2.1,56.68165,57.93091,55.21737,60.74019,60.04756,61.47961,58.21805,59.31358,61.78889,58.02991,68.43799,60.4371,2
2.2,56.68165,57.93091,55.21722,60.74862,60.04838,61.48012,58.21805,59.31358,61.83386,58.02991,68.43799,60.43626,2
2.3,56.64066,57.91208,55.17541,60.74862,60.04838,61.48012,58.21618,59.31393,61.83386,58.03007,68.59584,60.43626,2
2.4,56.56049,57.91208,55.17541,60.75632,60.04649,61.48024,58.21618,59.31393,61.94655,58.02996,68.59584,60.43739,2
2.5,56.56049,57.93354,55.17484,60.75632,60.04649,61.48024,58.21618,59.31299,61.94655,58.02996,68.65646,60.43679,2
2.6,56.57321,58.04997,55.17484,60.66662,60.04743,61.48018,58.21618,59.31299,61.96863,58.03064,68.65646,60.43679,2
2.7,56.57321,58.04997,55.1924,60.67681,60.04743,61.48018,58.21443,59.31375,61.97472,58.03064,68.68502,60.43853,2
2.8,56.62701,58.11304,55.1924,60.67681,60.04779,61.47963,58.21443,59.31375,61.97472,58.03171,68.68772,60.43853,2
2.9,56.63123,58.11304,55.21863,60.65868,60.04779,61.47963,58.21528,59.31345,61.97146,58.03103,68.68772,60.43775,2
3,56.63123,58.12865,55.2263,60.65868,60.04904,61.47981,58.21528,59.31345,61.97146,58.03103,68.6908,60.43668,2
3.1,56.62836,58.12865,55.2263,60.64097,60.04904,61.47981,58.21483,59.31317,61.97339,58.03058,68.6908,60.43668,2
3.2,56.62836,58.14459,55.23308,60.63953,60.04991,61.48012,58.21483,59.31317,61.97292,58.03058,68.69261,60.43619,2
3.3,56.6295,58.15378,55.23308,60.63953,60.04991,61.48012,58.21421,59.31328,61.97292,58.03058,68.69299,60.43619,2
3.4,56.6295,58.15378,55.24111,60.63995,60.04921,61.47999,58.21421,59.31328,61.97286,58.03058,68.69299,60.4372,2
3.5,56.63047,58.15548,55.24111,60.63995,60.04921,61.47999,58.21376,59.31299,61.97286,58.03041,68.69235,60.43626,2
3.6,56.62869,58.15548,55.24096,60.6357,60.04967,61.47999,58.21376,59.31299,61.97163,58.03137,68.69235,60.43626,2
3.7,56.62869,58.15424,55.23897,60.6357,60.04967,61.48018,58.21246,59.31299,61.97163,58.03137,68.69325,60.43704,2
3.8,56.6276,58.15424,55.23897,60.63323,60.05003,61.48018,58.21246,59.31276,61.97113,58.03165,68.69029,60.43704,2
3.9,56.6276,58.15074,55.23548,60.6295,60.05003,61.47944,58.21257,59.31276,61.97157,58.03165,68.69029,60.43666,2
4,56.62419,58.14522,55.23548,60.6295,60.04949,61.47944,58.21257,59.31428,61.97157,58.03092,68.68572,60.43666,2
4.1,56.62419,58.14522,55.22369,60.62213,60.04949,61.47993,58.21268,59.31428,61.96256,58.03092,68.68572,60.43649,2
4.2,56.56855,57.87479,55.22369,60.62213,60.04849,61.47993,58.21268,59.31432,61.96256,58.03092,68.42411,60.43643,2
4.3,56.56855,57.87479,55.1665,60.60579,60.04849,61.47993,58.21223,59.31432,61.74219,58.03058,68.42411,60.43643,2
4.4,56.60508,57.82663,55.1665,60.60579,60.04932,61.47993,58.21223,59.31386,61.73917,58.03058,68.30933,60.43638,2
4.5,56.62311,57.82663,55.16703,60.54588,60.04932,61.48007,58.21302,59.31386,61.73917,58.03025,68.20642,60.43638,2
4.6,56.62311,57.81802,55.1652,60.54588,60.05029,61.48007,58.21302,59.31352,61.73441,58.03064,68.20642,60.43649,2
