elapsed_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial,category,label
0.7,1.0000125275385292,1.0000894751308749,1.0000262126176909,1.0000085398863605,1.000002989271008,1.0,1.003079854283385,1.0004745631464746,1.000008900920776,1.0000560759112551,1.0000889304157525,1.0004024748465679,28,coin,coin not pressed
0.8,1.0000125275385292,1.000091389968306,1.0000252960925968,1.0000085398863605,1.000002989271008,1.000010240495601,1.0026476524497903,1.0004745631464746,1.000008900920776,1.000034853335611,1.0000728410313238,1.0004024748465679,28,coin,coin not pressed
0.9,1.000008645766027,1.0001087975813165,1.0000252960925968,1.0,1.0000305569925276,1.000010240495601,1.0026476524497903,1.0006325268000462,1.0000271882670975,1.000034853335611,1.0000728410313238,1.0003936712283805,28,coin,coin not pressed
1.0,1.000008645766027,1.0001087975813165,1.000051508710288,1.000040564460212,1.0000305569925276,1.0000328346049427,1.0031234740370065,1.0006325268000462,1.0000271882670975,1.0000260537310754,1.000048560687549,1.0008072751771853,28,coin,coin not pressed
1.1,1.0000516981519587,1.0002003616257527,1.000051508710288,1.000040564460212,1.0000494890422458,1.0000328346049427,1.0031234740370065,1.0006258049424475,1.000028159276637,1.0000358885832032,1.000048560687549,1.0008072751771853,28,coin,coin not pressed
1.2,1.0000516981519587,1.0002003616257527,1.0001125492815544,1.0000939387499643,1.0000494890422458,1.0000437252907406,1.0031640970136617,1.0006258049424475,1.000028159276637,1.0000358885832032,1.0000372981184489,1.0008014614670615,28,coin,coin not pressed
1.3,1.0000889278791372,1.000295755345051,1.0001125492815544,1.0000939387499643,1.0000551354430391,1.0000437252907406,1.0031640970136617,1.0005747188246965,1.0000168308320128,1.0000329553816916,1.000045781612057,1.0008014614670615,28,coin,coin not pressed
1.4,1.0000956327589134,1.000295755345051,1.0001361956289818,1.0001152884658653,1.0000551354430391,1.0000536406912433,1.0032055524283634,1.0005747188246965,1.0000289684512527,1.0000329553816916,1.000045781612057,1.00081126172127,28,coin,coin not pressed
1.5,1.0000956327589134,1.000369041395826,1.0002131837368855,1.0001152884658653,1.0000729049984762,1.0000536406912433,1.0032055524283634,1.0005471592085418,1.0000289684512527,1.000034853335611,1.0000372981184489,1.00081126172127,28,coin,coin not pressed
1.6,1.0001483895760999,1.000369041395826,1.0002131837368855,1.0002272923600535,1.0000729049984762,1.0000544534289892,1.0032618252402874,1.0005471592085418,1.0000229805590943,1.0000464136003928,1.0000372981184489,1.0007996343010226,28,coin,coin not pressed
